artist.familiarity,artist.name,artist.terms,song.id,song.year
0.581793766,Casual,hip hop,SOMZWCG12A8C13C480,1809
0.630630038,The Box Tops,blue-eyed soul,SOCIWDW12A8C13D406,1969
0.487356791,Sonora Santanera,salsa,SOXVLOJ12AB0189215,1327
0.630382334,Adam Ant,pop rock,SONHOTT12A8C13493C,1982
0.651045661,Gob,pop punk,SOFSOCN12A8C143F5D,2007
0.535292736,Jeff And Sheri Easter,southern gospel,SOYMRWW12A6D4FAB14,1948
0.556495602,Rated R,breakbeat,SOMJBYD12A6D4F8557,1246
0.801136447,Tweeterfriendly Music,post-hardcore,SOHKNRJ12A6701D1F8,1059
0.426667857,Planet P Project,new wave,SOIAZJW12AB01853F1,1984
0.550513698,Clp,breakcore,SOUDSGM12AC9618304,1931
0.360031167,JennyAnyKind,alternative rock,SOQHXMF12AB0182363,1183
0.545159296,Wayne Watson,ccm,SOKEJEJ12A8C13E0D0,1300
0.577508974,Andy Andy,bachata,SOMUYGI12AB0188633,2013
0.085512047,Bob Azzam,chanson,SORAMLE12AB017C8B0,1456
0.776675856,Lionel Richie,quiet storm,SOBONFF12A6D4F84D8,1986
0.636423645,Blue Rodeo,country rock,SOHUOAP12A8AE488E9,1987
0.419943148,Richard Souther,chill-out,SOUQQEA12A8C134B1B,1962
0.363280571,Faiz Ali Faiz,qawwali,SOILPQQ12AB017E82A,2004
0.707199764,Tesla,hard rock,SOXLBJT12A8C140925,2004
0.32031437,lextrical,indietronica,SOZVMJI12AB01808AF,1074
0.39413854,Jimmy Wakely,classic country,SOWTBJW12AC468AC6E,1412
0.489816269,Alice Stuart,electric blues,SOBEBDG12A58A76D60,1076
0.677420465,Elena,uk garage,SOZCTXZ12AB0182364,1452
0.839962768,The Dillinger Escape Plan,math-core,SOBBUGU12A8C13E95D,2004
0.435415818,SUE THOMPSON,pop rock,SOBLGCN12AB0183212,1985
0.6090637,Five Bolt Main,post-grunge,SOPSWQW12A6D4F8781,1512
0.550513698,Clp,breakcore,SOZQDIU12A58A7BCF6,1959
0.459797129,Tim Wilson,filk,SONYPOM12A8C13B2D7,2005
0.588827101,Willie Bobo,latin jazz,SOBZBAZ12A6D4F8742,1997
0.396455254,Faye Adams,jump blues,SOVYKGO12AB0187199,1961
0.706827671,Terry Callier,soul jazz,SOGNCJP12A58A80271,1972
0.560557984,John Wesley,disco,SOLLHMX12AB01846DC,1151
0.640807102,The Shangri-Las,doo-wop,SOYTPEP12AB0180E7B,1964
0.523714637,Billie Jo Spears,classic country,SOGXHEG12AB018653E,1992
0.79360508,Mike Jones (Featuring CJ_ Mello & Lil' Bran),rap,SOOLYAZ12A6701F4A6,1181
0.501544777,Sierra Maestra,charanga,SOGOSOV12AF72A285E,1997
0.809323793,Butthole Surfers,noise rock,SOJXVAH12A8C139700,1516
0.632559542,Despina Vandi,dance pop,SOVXMTN12A8C135A18,1797
0.597541218,Javier Navarrete,orchestra,SORSECL12AB0182267,1279
0.495445922,Jacob Young,cool jazz,SOOGFBZ12AC3DF7FF2,1452
0.527865076,Scarlet's Remains,gothic metal,SOMSBGZ12AB018C4CB,2007
0.668674533,The Suicide Machines,ska punk,SONYRZV12AB018AF70,2003
0.814829656,The Rolling Stones,blues,SONQBUB12A6D4F8ED0,1246
0.482356043,Roberto Torres,salsa,SOHGKJW12AC468A8BD,1721
0.661080168,Loudon Wainwright III,modern rock,SOINBCU12A6D4F94C0,1995
0.701180874,R.L. Burnside,delta blues,SOTWVQT12A58A79650,2004
0.73379894,Stevie Ray Vaughan,texas blues,SOTSEJY12AB0180F56,1992
0.590692918,John Hammond,blues,SOTSETT12AB01863B8,2002
0.665322162,Casiotone For The Painfully Alone,trip hop,SOTUNMH12A6D4FA3E6,2006
0.50407567,Ec8or,hardcore techno,SOEPPKB12AB018418B,1995
0.717670525,The New York Dolls,glam rock,SOGKIWV12A6D4F86C4,1974
0.669726188,Eliane Elias,brazilian jazz,SOPHYIS12AAF3B35A3,2009
0.569741152,Lost Boyz,gangster rap,SOFHBAR12A6701D0FE,1997
0.640048357,The Germs,rock,SOCPRKM12AB018A2FD,1977
0.397772876,Yamandu Costa,brazilian jazz,SOFGHAM12AB0186412,1126
0.643182773,Chris Rea,soft rock,SODHVES12A6701CE6B,1986
0.411421048,Perrey And Kingsley,easy listening,SOXIATP12AAF3B2184,1966
0.75100762,Eurythmics,dance rock,SOGNQWU12A8AE4868F,1985
0.54858513,Francis Dunnery,singer-songwriter,SOYQOFI12A6D4F76E1,1995
0.749317801,John Cale,experimental rock,SOVOLGY12A6D4F822B,1997
0.631946666,Suzanne Ciani,meditation,SOMZCVH12AB0182B8E,1025
0.653937821,Vickie Winans,ccm,SONXJBL12AAF3B2C0C,1056
